0.545, 106.500, 1,
0.305, 186.000, 2,
0.617, 103.000, 1,
0.657, 40.000, 1,
0.747, 108.500, 1,
0.756, 97.000, 1,
0.787, 113.000, 1,
0.652, 76.500, 1,
0.623, 69.000, 1,
0.341, 60.500, 1,
0.548, 90.500, 1,
0.726, 72.000, 1,
0.766, 104.000, 1,
0.515, 141.000, 1,
0.816, 231.500, 2,
0.735, 113.500, 1,
0.515, 506.000, 2,
0.855, 117.500, 1,
0.270, 368.500, 2,
0.471, 98.000, 1,
0.398, 268.000, 2,
0.691, 130.000, 1,
0.417, 195.000, 2,
0.670, 173.000, 1,
0.209, 259.000, 2,
0.313, 196.000, 2,
0.292, 178.000, 2,
0.273, 136.500, 2,
0.412, 177.000, 2,
0.518, 199.000, 2,
0.450, 79.000, 1,
0.229, 137.000, 2,
0.265, 277.000, 2,
0.253, 410.000, 2,
0.386, 324.500, 2,
0.513, 174.500, 2,
0.665, 201.500, 2,
0.321, 245.500, 2,
0.357, 195.500, 2,
0.673, 151.000, 1,
